feature,pearson_with_points,abs_pearson,spearman_with_points,abs_spearman,rf_importance_mean,rf_importance_std,corr_rank,rf_rank
average_passes_per_possession,-0.03796085226533343,0.03796085226533343,-0.046700291872882625,0.046700291872882625,0.007329758026324622,0.010466492093746964,45.0,21.0
ppda,-0.317245657429362,0.317245657429362,-0.3724859084667389,0.3724859084667389,0.0068584980370276945,0.01581447722082673,17.0,22.0
fouls,-0.026515141862031556,0.026515141862031556,-0.011301935738890831,0.011301935738890831,0.00621429531759355,0.013371371639239118,52.0,23.0
match_tempo,-0.00478239530630183,0.00478239530630183,0.038904344952085584,0.038904344952085584,0.004490746864589982,0.022169233385600392,47.0,24.0
counterattacks_with_shots,0.14634687753384237,0.14634687753384237,0.2590614967526784,0.2590614967526784,0.0043154277564002065,0.018666741015761084,27.0,25.0
possession_pct,0.15617163680948562,0.15617163680948562,0.13572632206777382,0.13572632206777382,0.003342055271260295,0.012444638728856192,38.0,26.0
offsides,0.22686510379425573,0.22686510379425573,0.25954452362775127,0.25954452362775127,0.0024850089575205445,0.02660232120440692,26.0,27.0
shots_against_on_target,-0.5689770170240138,0.5689770170240138,-0.5133499302881127,0.5133499302881127,0.0022445569655250943,0.058238256499289855,15.0,28.0
duels_won,0.20592028628993544,0.20592028628993544,0.24228889780960902,0.24228889780960902,0.0017625919319600076,0.01607537641070185,30.0,29.0
passes_to_final_third_accurate,0.48278013355151994,0.48278013355151994,0.5075131726123671,0.5075131726123671,0.0017392680479100993,0.03859159495705188,16.0,30.0
goal_kicks,-0.3867150034181668,0.3867150034181668,-0.3642611026143303,0.3642611026143303,0.0002855475964083822,0.031125340663753276,18.0,31.0
deep_completed_passes,0.5258246398997098,0.5258246398997098,0.5278193357445976,0.5278193357445976,-0.00031978040677861007,0.044256435393980546,13.0,32.0
back_passes_accurate,-0.023103776454723737,0.023103776454723737,0.03864086127068579,0.03864086127068579,-0.00038695682889387795,0.026431186440795767,48.0,33.0
average_pass_length,0.15407424777172668,0.15407424777172668,0.148585475729985,0.148585475729985,-0.0009316850916003833,0.016888675626066142,36.0,34.0
progressive_passes_accurate,0.3461757125247991,0.3461757125247991,0.34251669258161016,0.34251669258161016,-0.0017391964174372266,0.019107376142759744,21.0,35.0
smart_passes_accurate,0.1939960883728543,0.1939960883728543,0.2723093605442297,0.2723093605442297,-0.002666698816872426,0.003911607990211236,25.0,36.0
passes_accurate,0.08436004767194073,0.08436004767194073,0.14139559660751022,0.14139559660751022,-0.0032142091661761783,0.007236056656478276,37.0,37.0
offensive_duels_won,0.15724049863989145,0.15724049863989145,0.17713285454473188,0.17713285454473188,-0.004372506712108759,0.020570319271890496,35.0,38.0
interceptions,0.013162074055056084,0.013162074055056084,0.05155217043944226,0.05155217043944226,-0.004917065691082218,0.010170919953189535,44.0,39.0
crosses_accurate,0.3468268967351075,0.3468268967351075,0.3045049716686754,0.3045049716686754,-0.006364583333333289,0.013015046764429196,22.0,40.0
forward_passes_accurate,0.20831770540659827,0.20831770540659827,0.2369745950049632,0.2369745950049632,-0.006425087005044835,0.013525898216733003,32.0,41.0
penalty_area_entries_runs_crosses,0.5413933657047685,0.5413933657047685,0.5563995326723172,0.5563995326723172,-0.008424368195104748,0.029747017199252695,11.0,42.0
average_shot_distance,-0.36506637636587486,0.36506637636587486,-0.2553401068163821,0.2553401068163821,-0.009582573419378449,0.014776303803427725,28.0,43.0
throw_ins_accurate,0.25733089819713884,0.25733089819713884,0.2937433205736405,0.2937433205736405,-0.010090391068978554,0.012629640517556119,24.0,44.0
losses_low_medium_high,0.1830182235785676,0.1830182235785676,0.11795480881029373,0.11795480881029373,-0.010868772320643495,0.013726647813813433,40.0,45.0
shots_from_outside_penalty_area_on_target,0.20886422658968054,0.20886422658968054,0.2507178104443516,0.2507178104443516,-0.010945226673331731,0.01660362923907002,29.0,46.0
lateral_passes_accurate,0.07910708675963846,0.07910708675963846,0.13098830650188129,0.13098830650188129,-0.012621217131634074,0.012976989628947716,39.0,47.0
defensive_duels_won,-0.09752297668066436,0.09752297668066436,-0.04016298326789776,0.04016298326789776,-0.015996782427819708,0.013892494424853298,46.0,48.0
aerial_duels_won,0.2588833681960718,0.2588833681960718,0.17935924779753926,0.17935924779753926,-0.017502909570425076,0.02590758302602397,34.0,49.0
long_pass_pct,0.03704660259019087,0.03704660259019087,-0.01353826515566757,0.01353826515566757,-0.019099279835391118,0.009706347764991031,51.0,50.0
deep_completed_crosses,0.35180479789146685,0.35180479789146685,0.2977284679106324,0.2977284679106324,-0.021303135614671,0.021071776136478454,23.0,51.0
sliding_tackles_successful,-0.07291242715533076,0.07291242715533076,-0.031707432873174075,0.031707432873174075,-0.03318837065355271,0.016790089873386597,49.0,52.0
