feature,pearson_with_points,abs_pearson,spearman_with_points,abs_spearman,rf_importance_mean,rf_importance_std,corr_rank,rf_rank
losses_low_medium_high,0.1830182235785676,0.1830182235785676,0.11795480881029373,0.11795480881029373,-0.009708498277556703,0.022081500776595517,32.0,28.0
passes_accurate,0.08436004767194073,0.08436004767194073,0.14139559660751022,0.14139559660751022,-0.010777489168210154,0.018047992088121367,29.0,29.0
passes_to_final_third_accurate,0.48278013355151994,0.48278013355151994,0.5075131726123671,0.5075131726123671,-0.010832375832471423,0.05097114547580701,10.0,30.0
lateral_passes_accurate,0.07910708675963846,0.07910708675963846,0.13098830650188129,0.13098830650188129,-0.013087378460160141,0.02472584549724947,31.0,31.0
progressive_passes_accurate,0.3461757125247991,0.3461757125247991,0.34251669258161016,0.34251669258161016,-0.015938325606149207,0.02861761166880523,14.0,32.0
smart_passes_accurate,0.1939960883728543,0.1939960883728543,0.2723093605442297,0.2723093605442297,-0.016182182272460287,0.007427581823612987,18.0,33.0
interceptions,0.013162074055056084,0.013162074055056084,0.05155217043944226,0.05155217043944226,-0.01702964087666974,0.013739403456681976,36.0,34.0
average_shot_distance,-0.36506637636587486,0.36506637636587486,-0.2553401068163821,0.2553401068163821,-0.02544859265605795,0.020752159335955075,21.0,35.0
defensive_duels_won,-0.09752297668066436,0.09752297668066436,-0.04016298326789776,0.04016298326789776,-0.02623423266691051,0.026532287691094444,38.0,36.0
forward_passes_accurate,0.20831770540659827,0.20831770540659827,0.2369745950049632,0.2369745950049632,-0.02756136778387912,0.021617237189032298,24.0,37.0
back_passes_accurate,-0.023103776454723737,0.023103776454723737,0.03864086127068579,0.03864086127068579,-0.02906350788343494,0.025099937276208906,40.0,38.0
average_passes_per_possession,-0.03796085226533343,0.03796085226533343,-0.046700291872882625,0.046700291872882625,-0.029616807560865866,0.026690232045167368,37.0,39.0
aerial_duels_won,0.2588833681960718,0.2588833681960718,0.17935924779753926,0.17935924779753926,-0.030898206199806804,0.04497937533316359,26.0,40.0
long_pass_pct,0.03704660259019087,0.03704660259019087,-0.01353826515566757,0.01353826515566757,-0.034793979904126776,0.017996464040299098,43.0,41.0
duels_won,0.20592028628993544,0.20592028628993544,0.24228889780960902,0.24228889780960902,-0.035893784024474996,0.026829617574628345,22.0,42.0
deep_completed_passes,0.5258246398997098,0.5258246398997098,0.5278193357445976,0.5278193357445976,-0.041497820002642176,0.053139738077868454,8.0,43.0
deep_completed_crosses,0.35180479789146685,0.35180479789146685,0.2977284679106324,0.2977284679106324,-0.044519740797324715,0.034367980800528906,16.0,44.0
