season,player_900_plus_mins,team,possession,total_stdev,overall_rank,minutes_played,xg,penalties_taken,non_pkxg,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,shooting_impact,goal_conversion_pct,goal_threat_stdev,goal_threat_rank,offensive_duels_per_90,offensive_duels_won_pct,offensive_duel_impact,touches_in_box_per_90,key_passes_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalty_box_passes_impact,xa_per_90,link_play_stdev,link_play_rank
2025.0,P. Wilson,Oakland Roots,48.97,-1.142763496,0.426,2454.0,11.85,2.0,10.37,0.812,0.954,0.411,0.858,0.762,1.0,6.37997323,0.975,0.191,0.312,0.202,0.677,0.191,0.021,0.819,0.096,0.248,-3.056558121,0.181
2025.0,J. Sinisterra,Oakland Roots,48.97,-5.675795672,0.238,1092.0,1.73,1.0,0.99,0.035,0.082,0.064,0.422,0.167,0.379,-4.137870433,0.128,0.759,0.298,0.504,0.103,0.55,0.557,0.546,0.606,0.652,-0.9978388194,0.429
2024.0,M. Dieng,Hartford Athletic,48.96,-0.3689232887,0.479,2054.0,12.07,0.0,12.07,0.979,0.929,0.745,0.876,0.904,0.865,6.083687656,0.957,0.121,0.188,0.085,0.876,0.043,0.28,0.266,0.195,0.248,-2.275251085,0.277
2022.0,M. Foster,Sacramento Republic,48.87,12.57517576,0.975,1210.0,6.63,1.0,5.89,0.918,0.957,0.855,0.787,0.894,0.876,5.778475706,0.95,0.67,0.777,0.801,0.926,0.777,0.574,0.401,0.489,0.805,3.099472865,0.823
2022.0,R. López,Sacramento Republic,48.87,9.337686416,0.915,2241.0,7.91,5.0,4.21,0.16,0.326,0.585,0.355,0.443,0.511,-1.523332366,0.319,0.316,0.879,0.78,0.046,0.975,0.986,0.61,0.986,0.993,9.788975425,0.993
2022.0,D. Martìnez,Sacramento Republic,48.87,1.490882405,0.603,1946.0,4.46,2.0,2.98,0.099,0.167,0.071,0.762,0.333,0.691,-2.042048295,0.277,0.493,0.259,0.287,0.557,0.894,0.858,0.663,0.894,0.652,3.571357386,0.844
2022.0,L. Archimède,Sacramento Republic,48.87,-0.08414654526,0.496,1285.0,7.61,2.0,6.13,0.904,0.362,0.918,0.422,0.752,0.337,1.103325611,0.628,0.167,0.837,0.635,0.911,0.592,0.312,0.443,0.305,0.248,-0.6428932596,0.482
2023.0,J. Rivas,Miami,48.81,-2.551973631,0.355,1779.0,6.49,4.0,3.53,0.202,0.571,0.677,0.865,0.869,0.865,1.411718309,0.66,0.089,0.773,0.401,0.259,0.241,0.482,0.323,0.401,0.567,-0.4379760106,0.511
2023.0,M. Salazar,Miami,48.81,-5.457289748,0.259,1791.0,3.34,0.0,3.34,0.152,0.121,0.099,0.525,0.234,0.135,-3.839325237,0.142,0.862,0.418,0.688,0.163,0.365,0.411,0.652,0.496,0.567,-1.237333712,0.394
2023.0,K. Murphy,Miami,48.81,-7.212049125,0.121,1948.0,9.15,4.0,6.19,0.528,0.259,0.443,0.574,0.528,0.461,-0.5151134405,0.429,0.131,0.613,0.309,0.316,0.191,0.074,0.043,0.046,0.248,-4.50290526,0.06
