year,team,points,standarised_points_score,position,positon_reversed,adjusted_position_z_score,composite_team_score,total_score,attacking_score_6,defensive_score_8,ball_progression_6,xg_diff,possesion_threat,goals,conceded_goals,xg,shots_on_target,possession_pct,passes_accurate,points_order_within_year,composite_order_within_year,underlying_minus_results_order_within_year
2025.0,El Paso Locomotive,41.0,-0.3544680497,4.0,-4,0.7527080295,0.1991199899,1.940685256,0.2942353913,2.901419013,-0.3644786636,-0.04,0.3028929858,1.52,1.48,1.27,11.74,53.25,419.29,10,8,-2
2022.0,Miami,55.0,0.73246274,6.0,-6,0.1966028435,0.4645327917,2.792966127,0.4924145116,2.827660098,0.2785899155,0.16,0.3217349857,1.37,1.0,1.35,10.63,49.1,419.6,8,10,2
2023.0,Miami,41.0,-0.3544680497,9.0,-9,-0.6375549354,-0.4960114926,-2.450252638,-2.628211317,1.485871354,-2.256439537,-0.18,0.2884141909,1.26,1.29,1.23,8.97,48.81,426.47,19,18,-1
2024.0,San Antonio,39.0,-0.5097438768,9.0,-9,-0.6375549354,-0.5736494061,-1.103087868,-2.597964494,3.261696362,-2.116569747,-0.18,0.3077775384,1.06,1.44,1.0,9.41,47.59,324.91,20,19,-1
2024.0,North Carolina FC,48.0,0.1889973451,8.0,-8,-0.3595023424,-0.08525249866,3.075831233,0.1745745472,3.993037582,-0.7410844425,0.34,0.3673361522,1.6,1.31,1.39,11.6,46.54,378.4,13,14,1
2025.0,Detroit City,37.0,-0.6650197039,8.0,-8,-0.3595023424,-0.5122610232,0.2590437604,-3.277554854,6.196015417,-2.56700583,-0.15,0.235580408,1.06,1.09,0.91,8.88,52.57,386.28,15,15,0
2022.0,New Mexico United,51.0,0.4219110858,5.0,-5,0.4746554365,0.4482832611,4.741638945,0.7637247409,5.359160628,0.1668684753,0.2,0.3663679494,1.4,1.2,1.39,11.49,50.1,379.4,12,11,-1
2022.0,Indy Eleven,41.0,-0.3544680497,9.0,-9,-0.6375549354,-0.4960114926,-3.726763738,-2.831590049,0.6655843677,-2.20523576,-0.51,0.2742348589,1.21,1.62,1.06,8.94,46.6,386.53,19,18,-1
2023.0,Rio Grande Valley,43.0,-0.1991922226,9.0,-9,-0.6375549354,-0.418373579,2.510737652,-0.142859184,3.458705599,0.5268622839,-0.09,0.288526816,1.26,1.41,1.19,11.62,50.33,412.44,16,17,1
2024.0,Sacramento Republic,49.0,0.2666352587,5.0,-5,0.4746554365,0.3706453476,5.815767904,1.908964111,4.199257014,1.415686955,0.38,0.3798300504,1.31,0.97,1.56,12.06,49.69,410.71,11,10,-1
