season,player,team,position,minutes_played,overall_percentile,total_stdev,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90
2024.0,J. LaCava,San Antonio,ST,1285.0,0.106,-7.540320517,0.043,0.241,0.092,0.06,0.128,0.025,0.755,0.117,0.433,0.089
2024.0,T. Ángel,Phoenix Rising,ST,1378.0,0.074,-8.661314641,0.262,0.369,0.45,0.06,0.738,0.489,0.482,0.493,0.241,0.089
2024.0,M. Chol,San Antonio,ST,1303.0,0.067,-8.95966008,0.103,0.085,0.043,0.167,0.057,0.138,0.418,0.113,0.113,0.0
2024.0,R. Cabral,Phoenix Rising,ST,1408.0,0.046,-9.607292746,0.699,0.074,0.557,0.755,0.844,0.543,0.046,0.741,0.0,0.0
2024.0,S. Stojanovic,FC Tulsa,ST,2560.0,0.043,-9.824849628,0.252,0.209,0.44,0.167,0.305,0.376,0.018,0.39,0.28,0.248
2024.0,M. Chéry,Oakland Roots,ST,1287.0,0.039,-10.14350857,0.138,0.032,0.248,0.167,0.546,0.064,0.149,0.177,0.018,0.043
2024.0,J. Rivas,El Paso Locomotive,ST,1163.0,0.011,-12.10093113,0.152,0.401,0.167,0.082,0.184,0.294,0.39,0.131,0.131,0.493
2025.0,K. Edwards,Hartford Athletic,ST,1282.0,0.858,6.799643063,0.986,0.493,0.986,0.975,0.933,0.791,0.55,0.801,0.812,0.567
2025.0,C. Jennings,Charleston Battery,ST,2305.0,0.833,6.31601014,0.894,0.812,0.855,0.695,0.95,0.851,0.457,0.993,0.759,0.805
2025.0,R. Cicerone,Sacramento Republic,ST,2025.0,0.794,5.544407651,0.539,0.908,0.461,0.518,0.291,0.511,0.72,0.709,0.94,0.855
2025.0,A. Moreno,El Paso Locomotive,ST,2768.0,0.78,5.093207885,0.613,0.78,0.624,0.652,0.624,0.532,0.816,0.876,0.745,0.411
2025.0,E. Goldthorp,FC Tulsa,ST,1107.0,0.762,4.754966188,0.227,0.876,0.17,0.213,0.642,0.468,0.823,0.415,0.872,0.982
